date,cases,deaths,casesNew,deathsNew,casesPer100K,deathsPer100K,dias
2020-03-28,1149,76,1149,76,9.378043119899464,0.6203057242057087,1.0
2020-03-29,1183,89,34,13,9.655548312307282,0.72641065071458,2.0
2020-03-30,1233,103,50,14,10.063644183495247,0.8406774946472105,3.0
2020-03-31,1885,121,652,18,15.385214343786329,0.9875920082748784,4.0
2020-04-01,2418,144,533,23,19.73551633065005,1.1753161090213429,5.0
2020-04-02,2815,164,397,20,22.9757975478825,1.3385544574965293,6.0
2020-04-03,3202,186,387,22,26.13445959087736,1.5181166408192346,7.0
2020-04-04,3496,212,294,26,28.5340633134626,1.730326493836977,8.0
2020-04-05,3612,220,116,8,29.480845734618683,1.7956218332270515,9.0
2020-04-06,3754,244,142,24,30.639838008792506,1.9915078513972753,10.0
2020-04-07,4258,296,504,52,34.75344439036721,2.4159275574327603,11.0
2020-04-08,4946,339,688,43,40.36884357791362,2.7668900066544113,12.0
2020-04-09,5477,384,531,45,44.70282172992982,3.134176290723581,13.0
2020-04-10,5982,409,505,25,48.824590028928284,3.338224226317564,14.0
2020-04-11,6131,422,149,13,50.040715725068424,3.4443291528264353,15.0
2020-04-12,6352,445,221,23,51.84449947571923,3.6320532535728995,16.0
2020-04-13,6418,456,66,11,52.38318602568735,3.721834345234252,17.0
2020-04-14,6705,512,287,56,54.72565632630628,4.178901720964775,18.0
2020-04-15,7764,558,1059,46,63.369126878067405,4.554349922457703,19.0
2020-04-16,7908,603,144,45,64.54444298708874,4.921636206526873,20.0
2020-04-17,8744,643,836,40,71.36780595335154,5.248112903477246,21.0
2020-04-18,9428,686,684,43,76.95055747120291,5.599075352698897,22.0
2020-04-19,9668,700,240,14,78.90941765290516,5.713342196631528,23.0
2020-04-20,9815,715,147,15,80.10921951419778,5.835770957987918,24.0
2020-04-21,10342,753,527,38,84.41054999651894,6.145923820090772,25.0
2020-04-22,10691,778,349,25,87.25905917741095,6.349971755684755,26.0
2020-04-23,11225,912,534,134,91.61752308169842,7.443668690468504,27.0
2020-04-24,11800,1010,575,98,96.31062560036004,8.243536597996918,28.0
2020-04-25,13098,1099,1298,89,106.90479441639964,8.969947248711499,29.0
2020-04-26,13513,1114,415,15,110.29199014725977,9.092376010067888,30.0
2020-04-27,13989,1172,476,58,114.1770628409692,9.56576722064593,31.0
2020-04-28,15397,1321,1408,149,125.66904257362233,10.781892916786068,32.0
2020-04-29,16638,1439,1241,118,135.79798209650767,11.744999172789669,33.0
2020-04-30,18149,1522,1511,83,148.130639323808,12.422438318961692,34.0
2020-05-01,19087,1607,938,85,155.78651786729424,13.116201299981237,35.0
2020-05-02,19494,1661,407,54,159.1084182587643,13.55694484086424,36.0
2020-05-03,19822,1673,328,12,161.78552717375734,13.65488784994935,37.0
2020-05-04,20073,1683,251,10,163.83416844712093,13.736507024186945,38.0
2020-05-05,21140,1801,1067,118,172.54293433827215,14.699613280190546,39.0
2020-05-06,23187,1910,2047,109,189.25037930470748,15.58926227938031,40.0
2020-05-07,24273,1986,1086,76,198.1142216269101,16.20956800358602,41.0
2020-05-08,25366,2110,1093,124,207.03519737107905,17.221645764132177,42.0
2020-05-09,26787,2223,1421,113,218.63328203024105,18.14394243301698,43.0
2020-05-10,27307,2266,520,43,222.8774790905959,18.494904882238632,44.0
2020-05-11,27771,2283,464,17,226.66460877522022,18.63365747844254,45.0
2020-05-12,28682,2407,911,124,234.10011554826497,19.645735238988696,46.0
2020-05-13,30402,2496,1720,89,248.138613517131,20.372145889703276,47.0
2020-05-14,31873,2596,1471,100,260.14479404748096,21.188337632079207,48.0
2020-05-15,33992,2674,2119,78,277.439897068427,21.824967191132437,49.0
2020-05-16,35429,2792,1437,118,289.16857240636915,22.788073447136036,50.0
2020-05-17,35931,2835,502,43,293.2658549530963,23.139035896357687,51.0
2020-05-18,36188,2856,257,21,295.36346773100246,23.310436162256632,52.0
2020-05-19,37640,3029,1452,173,307.214571830301,24.722447876566996,53.0
2020-05-20,39466,3135,1826,106,322.11823304608555,25.587611123485484,54.0
2020-05-21,41451,3238,1985,103,338.3196391322478,26.428288618132694,55.0
2020-05-22,42973,3352,1522,114,350.74207745120947,27.358747204441258,56.0
2020-05-23,44887,3491,1914,139,366.3639874002848,28.493253726343806,57.0
2020-05-24,45527,3534,640,43,371.5876145514908,28.844216175565457,58.0
2020-05-25,46204,3555,677,21,377.11323264737587,29.015616441464402,59.0
2020-05-26,47554,3691,1350,136,388.131821169451,30.12563721109567,60.0
2020-05-27,49264,3826,1710,135,402.0886999640794,31.227496063303178,61.0
2020-05-28,52719,3958,3455,132,430.2881246631679,32.30486916323941,62.0
2020-05-29,55741,4116,3022,158,454.95343911776854,33.59445211619338,63.0
2020-05-30,58619,4239,2878,123,478.4434374633479,34.59836795931578,64.0
2020-05-31,60131,4280,1512,41,490.784256608072,34.933006573689916,65.0
2020-06-01,61126,4304,995,24,498.9053644447125,35.12889259186014,66.0
2020-06-02,64443,4443,3317,139,525.9784445393223,36.26339911376268,67.0
2020-06-03,66777,4564,2334,121,545.0283598063764,37.25099112203756,68.0
2020-06-04,69347,4674,2570,110,566.0044875854379,38.148802038651084,69.0
